sample	type	H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995
TARGET_20_PAVAVV_09A_01R_RBS	CBFA2T3.GLIS2	0.12066958817188583
TARGET_20_PAVAWS_09A_01R_RBS	NUP98.Fusion	-0.14480388844925168
TARGET_20_PAVAYD_09A_01R_RBS	CBFB.MYH11	0.45261575259605447
TARGET_20_PAVBAY_09A_01R_RBS	RUNX1.RUNX1T1	0.5558902675561713
TARGET_20_PAVBCV_09A_01R_RBS	SPTBN1.ALK	0.36538616429065673
TARGET_20_PAVBEM_09A_01R_RBS	RUNX1.RUNX1T1	0.1706878805374819
TARGET_20_PAVBFN_09A_01R_RBS	RUNX1.DERA	0.10751258794346452
TARGET_20_PAVBIH_09A_01R_RBS	DDX3X.MLLT10	0.4690193995165629
TARGET_20_PAVBIY_09A_01R_RBS	KMT2A.Fusion	0.40549776324164727
TARGET_20_PAVBUX_09A_01R_RBS	KMT2A.Fusion	0.5571575792597812
TARGET_20_PAVBWL_09A_01R_RBS	CEBPA	0.37631078677521207
TARGET_20_PAVBYN_09A_01R_RBS	CEBPA	0.2242368026346664
TARGET_20_PAVBZM_09A_01R_RBS	NUP214.Fusion	0.40104415868315163
TARGET_20_PAVBZY_03A_01R_RBS	KMT2A.Fusion	0.5227171224091844
TARGET_20_PAVCJB_09A_01R_RBS	ETS.Fusion	0.39234703776174973
TARGET_20_PAVCMR_09A_01R_RBS	RUNX1.RUNX1T1	0.05940722318042116
TARGET_20_PAVCNG_09A_01R_RBS	CEBPA	0.6506189521097926
TARGET_20_PAVCNU_09A_01R_RBS	NUP98.Fusion	0.14509599420296954
TARGET_20_PAVCPM_09A_01R_RBS	NUP98.Fusion	0.14261424555476226
TARGET_20_PAVCVD_09A_01R_RBS	KMT2A.Fusion	0.1438067378899363
TARGET_20_PAVCWT_09A_01R_RBS	unknown	-0.12168245380657532
TARGET_20_PAVCZF_03A_01R_RBS	ELL.KMT2A	0.090278061226962
TARGET_20_PAVDAB_09A_01R_RBS	RUNX1.RUNX1T1	0.19480217641251252
TARGET_20_PAVDAJ_09A_01R_RBS	CEBPA	0.14131597584903474
TARGET_20_PAVDBK_09A_01R_RBS	RUNX1.RUNX1T1	0.07653054030342273
TARGET_20_PAVDBT_09A_01R_RBS	CBFB.MYH11	0.43552976221200645
TARGET_20_PAVDDA_09A_01R_RBS	RUNX1.RUNX1T1	-0.19987809258141767
TARGET_20_PAVDGM_09A_01R_RBS	KMT2A.Fusion	-0.26547338991736014
TARGET_20_PAVDNF_09A_01R_RBS	KMT2A.Fusion	-0.024967709183960483
TARGET_20_PAVDRG_09A_01R_RBS	NUP214.Fusion	0.32235347714417956
TARGET_20_PAVDVU_09A_01R_RBS	SPTBN1.ALK	0.2303718672973896
TARGET_20_PAVDVV_09A_01R_RBS	KMT2A.Fusion	0.3420078095111131
TARGET_20_PAVDXS_09A_01R_RBS	PICALM.Fusion	0.3426617266039905
TARGET_20_PAVDYE_09A_01R_RBS	KMT2A.Fusion	0.6225960082226903
TARGET_20_PAVDZI_09A_01R_RBS	KMT2A.Fusion	0.3729754381054067
TARGET_20_PAVDZK_09A_01R_RBS	MED14.HOXA11	0.19520401257886502
TARGET_20_PAVEAF_09A_01R_RBS	NUP98.Fusion	0.1532419367920503
TARGET_20_PAVEDT_09A_01R_RBS	NPM1	-0.13216743937783948
TARGET_20_PAVEEI_09A_01R_RBS	KMT2A.Fusion	0.5198956157759788
TARGET_20_PAVELC_09A_01R_RBS	MECOM	0.3671157400021918
TARGET_20_PAVELT_09A_01R_RBS	CBFB.MYH11	0.08974042173918408
TARGET_20_PAVEYP_09A_01R_RBS	CEBPA	0.16874761147088957
TARGET_20_PAVEZN_09A_01R_RBS	CEBPA	0.17670908935302232
TARGET_20_PAVFDW_09A_01R_RBS	NPM1	0.02356787492663291
TARGET_20_PAVFEM_09A_01R_RBS	unknown	0.5556267287840286
TARGET_20_PAVFWI_09A_01R_RBS	RUNX1.RUNX1T1	0.38996304833835116
TARGET_20_PAVGAM_09A_01R_RBS	unknown	0.3354194163607542
TARGET_20_PAVGBH_09A_01R_RBS	unknown	0.4825465978144432
TARGET_20_PAVGDM_09A_01R_RBS	NUP214.Fusion	0.5291206350161685
TARGET_20_PAVGEV_09A_01R_RBS	KMT2A.Fusion	0.08397849956634983
TARGET_20_PAVGIX_09A_01R_RBS	KMT2A.Fusion	0.20206510314828996
TARGET_20_PAVGJG_03A_01R_RBS	CBFB.MYH11	0.4996804750889699
TARGET_20_PAVGKS_09A_01R_RBS	KMT2A.Fusion	0.2434756644155169
TARGET_20_PAVGUM_09A_01R_RBS	NPM1	0.19231701360769063
TARGET_20_PAVHCV_09A_01R_RBS	CBFB.MYH11	0.34366148212886954
TARGET_20_PAVHLI_03A_01R_RBS	CBFB.MYH11	0.4022529861725421
TARGET_20_PAVHNV_09A_01R_RBS	KMT2A.Fusion	0.19780571749301168
TARGET_20_PAVHUF_09A_01R_RBS	NUP98.Fusion	0.6185452134567317
TARGET_20_PAVHWK_09A_01R_RBS	CBFB.MYH11	0.2933633364338658
TARGET_20_PAVHWK_09A_01R_replicate	CBFB.MYH11	0.3568725818916393
TARGET_20_PAVHWZ_03A_01R_RBS	RBM15.MRTFA	0.4004040188435614
TARGET_20_PAVIDD_03A_01R_RBS	KMT2A.Fusion	0.4136364579700106
TARGET_20_PAVIDJ_09A_01R_RBS	CBFB.MYH11	0.08476297051669804
TARGET_20_PAVIDK_09A_01R_RBS	KMT2A.Fusion	0.25689891969661044
TARGET_20_PAVIGB_09A_01R_RBS	KMT2A.Fusion	0.3217451989757709
TARGET_20_PAVINA_09A_01R_RBS	RUNX1.RUNX1T1	-0.13445616799636792
TARGET_20_PAVIRD_09A_01R_RBS	KMT2A.Fusion	-0.14791116009239902
TARGET_20_PAVIYH_09A_01R_RBS	KMT2A.Fusion	0.3186425928165244
TARGET_20_PAVIZK_03A_01R_RBS	CEBPA	0.4578552961151801
TARGET_20_PAVJIT_09A_01R_RBS	NUP214.Fusion	0.4790914461049334
TARGET_20_PAVJPL_09A_01R_RBS	unknown	0.5578139636832499
TARGET_20_PAVJRF_09A_01R_RBS	TCF4.ZEB2	0.4107429309776981
TARGET_20_PAVJVS_09A_01R_RBS	UBTF	0.21169445407800147
TARGET_20_PAVJXG_09A_01R_RBS	KMT2A.Fusion	-0.02360637214416574
