sample	type	H_PeripheralBlood_Normal_SuppressiveMonocyte_25799053
TARGET_20_PAVCWT_09A_01R_RBS	unknown	-0.026941479232274308
TARGET_20_PAVCZF_03A_01R_RBS	ELL.KMT2A	0.14768893407729516
TARGET_20_PAVDAB_09A_01R_RBS	RUNX1.RUNX1T1	0.27975876554387524
TARGET_20_PAVDAJ_09A_01R_RBS	CEBPA	0.11852415223671378
TARGET_20_PAVDBK_09A_01R_RBS	RUNX1.RUNX1T1	0.2284900996422422
TARGET_20_PAVDBT_09A_01R_RBS	CBFB.MYH11	0.3310890575001895
TARGET_20_PAVDDA_09A_01R_RBS	RUNX1.RUNX1T1	-0.08347355255196398
TARGET_20_PAVDGM_09A_01R_RBS	KMT2A.Fusion	-0.10245383397913074
TARGET_20_PAVDNF_09A_01R_RBS	KMT2A.Fusion	-0.053681975032367706
TARGET_20_PAVDRG_09A_01R_RBS	NUP214.Fusion	0.21138779455927817
TARGET_20_PAVDVU_09A_01R_RBS	SPTBN1.ALK	0.2237392148749116
TARGET_20_PAVDVV_09A_01R_RBS	KMT2A.Fusion	0.13081592586031926
TARGET_20_PAVDXS_09A_01R_RBS	PICALM.Fusion	-0.044791049945425314
TARGET_20_PAVDYE_09A_01R_RBS	KMT2A.Fusion	0.40974162702345057
TARGET_20_PAVDZI_09A_01R_RBS	KMT2A.Fusion	0.3066098931880803
TARGET_20_PAVDZK_09A_01R_RBS	MED14.HOXA11	0.08452375432279893
TARGET_20_PAVEAF_09A_01R_RBS	NUP98.Fusion	0.23415213322592737
TARGET_20_PAVEDT_09A_01R_RBS	NPM1	-0.004013607770516635
TARGET_20_PAVEEI_09A_01R_RBS	KMT2A.Fusion	0.4584187686087851
TARGET_20_PAVELC_09A_01R_RBS	MECOM	0.2902261631712463
TARGET_20_PAVELT_09A_01R_RBS	CBFB.MYH11	0.09050356994310423
TARGET_20_PAVEYP_09A_01R_RBS	CEBPA	0.05112508369034488
TARGET_20_PAVEZN_09A_01R_RBS	CEBPA	0.13129618912146296
TARGET_20_PAVFDW_09A_01R_RBS	NPM1	0.1116803189978792
TARGET_20_PAVFEM_09A_01R_RBS	unknown	0.5479469893412405
TARGET_20_PAVFWI_09A_01R_RBS	RUNX1.RUNX1T1	0.31672949200115497
TARGET_20_PAVGAM_09A_01R_RBS	unknown	0.23278615201111919
TARGET_20_PAVGBH_09A_01R_RBS	unknown	0.4411700190843801
TARGET_20_PAVGDM_09A_01R_RBS	NUP214.Fusion	0.3238850110271595
TARGET_20_PAVGEV_09A_01R_RBS	KMT2A.Fusion	0.033183787233365854
TARGET_20_PAVGIX_09A_01R_RBS	KMT2A.Fusion	0.1188280113972543
TARGET_20_PAVGJG_03A_01R_RBS	CBFB.MYH11	0.3639270153637026
TARGET_20_PAVGKS_09A_01R_RBS	KMT2A.Fusion	0.13832327681582207
TARGET_20_PAVGUM_09A_01R_RBS	NPM1	0.17773650759631193
TARGET_20_PAVHCV_09A_01R_RBS	CBFB.MYH11	0.4795580080811379
TARGET_20_PAVHLI_03A_01R_RBS	CBFB.MYH11	0.3441866913064697
TARGET_20_PAVHNV_09A_01R_RBS	KMT2A.Fusion	0.14337982753615441
TARGET_20_PAVHUF_09A_01R_RBS	NUP98.Fusion	0.5767847372909233
TARGET_20_PAVHWK_09A_01R_RBS	CBFB.MYH11	0.2838264569894436
TARGET_20_PAVHWK_09A_01R_replicate	CBFB.MYH11	0.3051147983273453
TARGET_20_PAVHWZ_03A_01R_RBS	RBM15.MRTFA	0.5593567829245518
TARGET_20_PAVIDD_03A_01R_RBS	KMT2A.Fusion	0.3715044478040414
TARGET_20_PAVIDJ_09A_01R_RBS	CBFB.MYH11	0.1207451896768774
TARGET_20_PAVIDK_09A_01R_RBS	KMT2A.Fusion	0.1759004963962793
TARGET_20_PAVIGB_09A_01R_RBS	KMT2A.Fusion	0.4307212439563805
TARGET_20_PAVINA_09A_01R_RBS	RUNX1.RUNX1T1	-0.047139025509406345
TARGET_20_PAVIRD_09A_01R_RBS	KMT2A.Fusion	-0.14701002335875135
TARGET_20_PAVIYH_09A_01R_RBS	KMT2A.Fusion	0.15646576937566617
TARGET_20_PAVIZK_03A_01R_RBS	CEBPA	0.26390822505204664
TARGET_20_PAVJIT_09A_01R_RBS	NUP214.Fusion	0.31087267545141367
TARGET_20_PAVJPL_09A_01R_RBS	unknown	0.5141549838067143
TARGET_20_PAVJRF_09A_01R_RBS	TCF4.ZEB2	0.32628868043931236
TARGET_20_PAVJVS_09A_01R_RBS	UBTF	0.13700689496211962
TARGET_20_PAVJXG_09A_01R_RBS	KMT2A.Fusion	0.03613548192085866
TARGET_20_PAVKAU_03A_01R_RBS	KMT2A.Fusion	-0.35577728370029893
TARGET_20_PAVKEM_09A_01R_RBS	CBFB.MYH11	0.3040229467800519
TARGET_20_PAVKEX_09A_01R_RBS	KMT2A.Fusion	-0.03333350854329879
TARGET_20_PAVKJD_09A_01R_RBS	KMT2A.Fusion	0.19155800512222593
TARGET_20_PAVKJV_09A_01R_RBS	CEBPA	0.1208676212262883
